	443	0.5
     0	     0	-1582.546919
     1	     1	-1583.033484
     3	     2	-1583.120902
     4	     3	-1583.138414
     5	     4	-1583.602306
     6	     5	-1583.724388
     7	     6	-1583.784217
     8	     7	-1583.880103
     9	     8	-1584.099428
    11	     9	-1584.308700
    13	    10	-1584.406176
    15	    11	-1584.438575
    16	    12	-1584.590496
    17	    13	-1584.650587
    18	    14	-1584.750331
    19	    15	-1584.867970
    20	    16	-1584.889338
    21	    17	-1584.978826
    22	    18	-1585.045256
    23	    19	-1585.095243
    26	    20	-1585.188243
    30	    21	-1585.194381
    31	    22	-1585.224722
    32	    23	-1585.228281
    33	    24	-1585.320509
    34	    25	-1585.386512
    36	    26	-1585.395345
    37	    27	-1585.424126
    39	    28	-1585.462817
    40	    29	-1585.495907
    41	    30	-1585.544529
    42	    31	-1585.549349
    43	    32	-1585.576521
    44	    33	-1585.584666
    45	    34	-1585.601080
    46	    35	-1585.623046
    49	    36	-1585.659625
    52	    37	-1585.671431
    53	    38	-1585.679936
    59	    39	-1585.680997
    60	    40	-1585.684566
    61	    41	-1585.685676
   161	    41	-1585.685846
   261	    41	-1585.685846
   361	    41	-1585.685846
   461	    41	-1585.685846
   561	    41	-1585.685846
   661	    41	-1585.685846
   761	    41	-1585.685846
   861	    41	-1585.685846
   961	    41	-1585.685846
  1061	    41	-1585.685846
