	443	0.5
     0	     0	-1582.901812
     1	     1	-1583.083659
     2	     2	-1583.227818
     3	     3	-1583.643778
     4	     4	-1583.768767
     5	     5	-1583.799059
     7	     6	-1583.984535
     8	     7	-1584.176109
    10	     8	-1584.222753
    11	     9	-1584.325003
    12	    10	-1584.414833
    13	    11	-1584.669989
    14	    12	-1584.758544
    18	    13	-1585.012615
    19	    14	-1585.048366
    20	    15	-1585.109250
    22	    16	-1585.220215
    23	    17	-1585.260444
    24	    18	-1585.322028
    27	    19	-1585.360976
    28	    20	-1585.393000
    29	    21	-1585.419691
    30	    22	-1585.516219
    31	    23	-1585.606983
    32	    24	-1585.619756
    33	    25	-1585.670059
    34	    26	-1585.687561
    35	    27	-1585.701955
    36	    28	-1585.746661
    37	    29	-1585.765822
    38	    30	-1585.826642
    40	    31	-1585.855573
    42	    32	-1585.877521
    43	    33	-1585.892359
    46	    34	-1585.902514
    48	    35	-1585.905957
    49	    36	-1585.910429
    50	    37	-1585.911542
    51	    38	-1585.935795
    53	    39	-1585.944788
    54	    40	-1585.956256
    56	    41	-1585.961554
    57	    42	-1585.964549
    58	    43	-1585.988248
    60	    44	-1585.990561
    61	    45	-1586.010890
   161	    45	-1586.010890
   261	    45	-1586.010890
   361	    45	-1586.010890
   461	    45	-1586.010890
   561	    45	-1586.010890
   661	    45	-1586.010890
   761	    45	-1586.010890
   861	    45	-1586.010890
   961	    45	-1586.010890
  1061	    45	-1586.010890
