	443	0.5
     0	     0	-1583.153375
     1	     1	-1583.461281
     2	     2	-1583.716299
     3	     3	-1583.895728
     4	     4	-1584.078481
     6	     5	-1584.259868
     7	     6	-1584.362654
     8	     7	-1584.706776
    10	     8	-1584.835397
    11	     9	-1584.946771
    12	    10	-1585.222540
    13	    11	-1585.328289
    15	    12	-1585.371226
    16	    13	-1585.437960
    17	    14	-1585.465307
    18	    15	-1585.524157
    19	    16	-1585.633827
    20	    17	-1585.665103
    21	    18	-1585.889693
    25	    19	-1585.939582
    26	    20	-1586.020381
    27	    21	-1586.096678
    28	    22	-1586.101677
    29	    23	-1586.195134
    31	    24	-1586.206250
    32	    25	-1586.316960
    33	    26	-1586.341083
    34	    27	-1586.358885
    37	    28	-1586.389040
    38	    29	-1586.392039
    40	    30	-1586.403520
    41	    31	-1586.424588
    42	    32	-1586.431210
    46	    33	-1586.434285
    47	    34	-1586.439138
    49	    35	-1586.440257
    50	    36	-1586.450195
    51	    37	-1586.475994
    52	    38	-1586.485067
    61	    39	-1586.496895
    62	    40	-1586.501311
   162	    40	-1586.501311
   262	    40	-1586.501311
   362	    40	-1586.501311
   462	    40	-1586.501311
   562	    40	-1586.501311
   662	    40	-1586.501311
   762	    40	-1586.501311
   862	    40	-1586.501311
   962	    40	-1586.501311
  1062	    40	-1586.501311
