	1417	0.5
     0	     0	-5213.974720
     1	     1	-5214.629189
     2	     2	-5214.798255
     3	     3	-5214.947553
     4	     4	-5215.260027
     5	     5	-5215.612599
     6	     6	-5216.054071
     8	     7	-5216.214166
     9	     8	-5216.651147
    10	     9	-5216.918885
    11	    10	-5217.178125
    12	    11	-5217.193667
    13	    12	-5217.765536
    15	    13	-5217.872165
    16	    14	-5218.147058
    18	    15	-5218.383603
    21	    16	-5218.398277
    22	    17	-5218.823086
    23	    18	-5218.837135
    24	    19	-5218.992567
    25	    20	-5219.002711
    26	    21	-5219.043254
    27	    22	-5219.420283
    28	    23	-5219.452009
    29	    24	-5219.574396
    31	    25	-5219.607217
    32	    26	-5219.658485
    33	    27	-5219.865112
    34	    28	-5219.943515
    35	    29	-5220.097962
    37	    30	-5220.258949
    39	    31	-5220.293218
    40	    32	-5220.296788
    41	    33	-5220.358437
    42	    34	-5220.542250
    43	    35	-5220.628757
    45	    36	-5220.648147
    46	    37	-5220.737412
    47	    38	-5220.823006
    48	    39	-5220.850284
    50	    40	-5220.859891
    51	    41	-5220.896624
    52	    42	-5220.898873
    53	    43	-5220.930662
    54	    44	-5220.991089
    55	    45	-5221.009212
    56	    46	-5221.030302
    57	    47	-5221.072034
    58	    48	-5221.112138
    60	    49	-5221.269876
    63	    50	-5221.281940
    67	    51	-5221.289161
    68	    52	-5221.312404
    70	    53	-5221.325724
    72	    54	-5221.361619
    73	    55	-5221.364985
    74	    56	-5221.378044
    81	    57	-5221.415679
    82	    58	-5221.419045
    84	    59	-5221.420735
    85	    60	-5221.467306
    88	    61	-5221.472831
    93	    62	-5221.481042
   193	    62	-5221.481042
   293	    62	-5221.481042
   393	    62	-5221.481042
   493	    62	-5221.481042
   593	    62	-5221.481042
   693	    62	-5221.481042
   793	    62	-5221.481042
   893	    62	-5221.481042
   993	    62	-5221.481042
  1093	    62	-5221.481042
