	443	0.2
     0	     0	-1536.629839
     1	     1	-1539.439489
     2	     2	-1540.608312
     3	     3	-1541.867747
     4	     4	-1542.410306
     5	     5	-1543.568131
     6	     6	-1544.012657
     7	     7	-1544.481026
     8	     8	-1545.107694
     9	     9	-1546.047056
    10	    10	-1546.292992
    11	    11	-1546.547209
    12	    12	-1547.471849
    13	    13	-1547.791766
    14	    14	-1548.605846
    15	    15	-1548.857226
    16	    16	-1549.241983
    17	    17	-1549.876265
    18	    18	-1550.209872
    19	    19	-1550.844367
    20	    20	-1551.894194
    21	    21	-1552.431357
    22	    22	-1552.576183
    23	    23	-1552.893838
    24	    24	-1553.384271
    25	    25	-1553.678534
    26	    26	-1553.971718
    27	    27	-1554.501180
    28	    28	-1554.547251
    29	    29	-1555.031353
    30	    30	-1555.476322
    31	    31	-1555.705853
    32	    32	-1556.322310
    33	    33	-1556.624254
    34	    34	-1556.886125
    35	    35	-1557.118328
    37	    36	-1557.392878
    38	    37	-1557.637072
    39	    38	-1558.146673
    40	    39	-1558.531639
    42	    40	-1558.712784
    43	    41	-1558.848420
    44	    42	-1559.294206
    45	    43	-1559.460022
    46	    44	-1559.712003
    47	    45	-1559.814369
    48	    46	-1560.224106
    49	    47	-1560.605109
    50	    48	-1560.680883
    51	    49	-1560.750078
    52	    50	-1561.033227
    53	    51	-1561.086942
    54	    52	-1561.393151
    55	    53	-1561.476013
    56	    54	-1561.731078
    57	    55	-1562.051970
    58	    56	-1562.232805
    59	    57	-1562.341810
    60	    58	-1562.585028
    61	    59	-1562.836671
    62	    60	-1563.004144
    63	    61	-1563.212624
    64	    62	-1563.420229
    65	    63	-1563.506647
    66	    64	-1563.532426
    67	    65	-1563.717464
    68	    66	-1563.844839
    69	    67	-1564.030080
    70	    68	-1564.201285
    71	    69	-1564.246711
    72	    70	-1564.467467
    73	    71	-1564.577318
    74	    72	-1564.781724
    75	    73	-1564.814701
    76	    74	-1564.907108
    77	    75	-1564.969491
    78	    76	-1565.007659
    79	    77	-1565.231264
    80	    78	-1565.329539
    81	    79	-1565.428441
    82	    80	-1565.624488
    83	    81	-1565.682523
    84	    82	-1565.880020
    85	    83	-1565.970764
    86	    84	-1566.011975
    87	    85	-1566.180868
    88	    86	-1566.230693
    89	    87	-1566.274617
    90	    88	-1566.432577
    91	    89	-1566.448901
    92	    90	-1566.517512
    94	    91	-1566.554845
    95	    92	-1566.630052
    96	    93	-1566.666789
    97	    94	-1566.764945
    98	    95	-1566.791289
    99	    96	-1566.915588
   100	    97	-1566.960225
   101	    98	-1567.043150
   102	    99	-1567.079717
   103	   100	-1567.120983
   104	   101	-1567.205660
   105	   102	-1567.241964
   108	   103	-1567.267918
   109	   104	-1567.282395
   110	   105	-1567.313133
   111	   106	-1567.359563
   113	   107	-1567.440926
   114	   108	-1567.511518
   116	   109	-1567.523522
   117	   110	-1567.552768
   118	   111	-1567.564567
   119	   112	-1567.582764
   121	   113	-1567.584600
   122	   114	-1567.612786
   123	   115	-1567.650776
   124	   116	-1567.668884
   126	   117	-1567.673706
   127	   118	-1567.686080
   128	   119	-1567.708903
   129	   120	-1567.714578
   130	   121	-1567.720801
   131	   122	-1567.744151
   132	   123	-1567.750465
   133	   124	-1567.753247
   134	   125	-1567.778640
   135	   126	-1567.798962
   136	   127	-1567.802656
   137	   128	-1567.824396
   138	   129	-1567.826869
   139	   130	-1567.855774
   140	   131	-1567.868942
   141	   132	-1567.878431
   142	   133	-1567.887577
   144	   134	-1567.914813
   148	   135	-1567.948645
   150	   136	-1567.950838
   155	   137	-1567.971600
   156	   138	-1567.989897
   158	   139	-1567.992716
   159	   140	-1568.002900
   160	   141	-1568.010662
   161	   142	-1568.047026
   162	   143	-1568.058287
   164	   144	-1568.065648
   165	   145	-1568.081412
   167	   146	-1568.086395
   169	   147	-1568.102626
   171	   148	-1568.105828
   173	   149	-1568.129852
   176	   150	-1568.142318
   180	   151	-1568.151759
   181	   152	-1568.164161
   187	   153	-1568.197400
   188	   154	-1568.206650
   190	   155	-1568.225859
   196	   156	-1568.244380
   198	   157	-1568.258115
   199	   158	-1568.262617
   212	   159	-1568.277285
   244	   160	-1568.282526
   257	   161	-1568.285970
   266	   162	-1568.287386
   267	   163	-1568.292696
   268	   164	-1568.294104
   269	   165	-1568.295744
   271	   166	-1568.297247
   272	   167	-1568.306170
   279	   168	-1568.309516
   282	   169	-1568.311281
   285	   170	-1568.319080
   286	   171	-1568.321184
   295	   172	-1568.324574
   296	   173	-1568.328012
   297	   174	-1568.333034
   298	   175	-1568.339829
   306	   176	-1568.343168
   308	   177	-1568.353352
   313	   178	-1568.357077
   314	   179	-1568.368777
   315	   180	-1568.371518
   316	   181	-1568.376253
   317	   182	-1568.379020
   328	   183	-1568.384220
   428	   183	-1568.385001
   518	   184	-1568.403643
   524	   185	-1568.405769
   530	   186	-1568.424427
   630	   186	-1568.425142
   730	   186	-1568.425142
   830	   186	-1568.425142
   930	   186	-1568.425142
  1030	   186	-1568.425142
  1130	   186	-1568.425142
  1230	   186	-1568.425142
  1330	   186	-1568.425142
  1430	   186	-1568.425142
  1530	   186	-1568.425142
