	443	0.5
     0	     0	-1584.295105
     1	     1	-1584.595552
     2	     2	-1584.679069
     3	     3	-1584.846689
     5	     4	-1585.027163
     7	     5	-1585.119329
     8	     6	-1585.416651
     9	     7	-1585.461180
    10	     8	-1585.675484
    11	     9	-1585.943251
    12	    10	-1585.985534
    13	    11	-1586.167862
    14	    12	-1586.261478
    15	    13	-1586.376555
    16	    14	-1586.526485
    17	    15	-1586.610209
    18	    16	-1586.775744
    19	    17	-1586.895497
    20	    18	-1587.254050
    21	    19	-1587.431031
    23	    20	-1587.483305
    25	    21	-1587.680781
    26	    22	-1587.841528
    27	    23	-1587.974863
    28	    24	-1588.068524
    29	    25	-1588.148034
    30	    26	-1588.230022
    31	    27	-1588.313578
    32	    28	-1588.429754
    33	    29	-1588.666466
    34	    30	-1588.768649
    35	    31	-1588.858673
    36	    32	-1589.172818
    38	    33	-1589.199856
    39	    34	-1589.318312
    40	    35	-1589.397921
    42	    36	-1589.513790
    43	    37	-1589.627160
    44	    38	-1589.824064
    45	    39	-1589.907841
    46	    40	-1589.921035
    47	    41	-1589.994601
    48	    42	-1590.053315
    49	    43	-1590.149682
    50	    44	-1590.246294
    51	    45	-1590.322932
    52	    46	-1590.594670
    53	    47	-1590.667886
    54	    48	-1590.804710
    55	    49	-1590.850428
    56	    50	-1590.900080
    57	    51	-1590.979991
    58	    52	-1591.007595
    59	    53	-1591.156993
    60	    54	-1591.199081
    61	    55	-1591.277920
    62	    56	-1591.327790
    63	    57	-1591.501101
    64	    58	-1591.506014
    65	    59	-1591.592115
    66	    60	-1591.713635
    67	    61	-1591.757844
    68	    62	-1591.797081
    69	    63	-1591.838104
    70	    64	-1591.927538
    71	    65	-1592.067963
    72	    66	-1592.097060
    73	    67	-1592.133318
    74	    68	-1592.192618
    75	    69	-1592.221738
    76	    70	-1592.302848
    77	    71	-1592.320643
    78	    72	-1592.363589
    79	    73	-1592.391127
    80	    74	-1592.417730
    81	    75	-1592.513322
    82	    76	-1592.525242
    83	    77	-1592.568417
    84	    78	-1592.597935
    85	    79	-1592.661311
    86	    80	-1592.703397
    87	    81	-1592.731747
    89	    82	-1592.748850
    90	    83	-1592.812437
    91	    84	-1592.829484
    92	    85	-1592.847501
    93	    86	-1592.907832
    94	    87	-1592.953762
    95	    88	-1592.991635
    96	    89	-1592.997991
    98	    90	-1593.040504
    99	    91	-1593.055446
   100	    92	-1593.099092
   101	    93	-1593.103145
   102	    94	-1593.128522
   103	    95	-1593.142528
   104	    96	-1593.166731
   105	    97	-1593.176568
   106	    98	-1593.197501
   107	    99	-1593.213848
   108	   100	-1593.216370
   109	   101	-1593.227080
   110	   102	-1593.250531
   112	   103	-1593.281558
   113	   104	-1593.309648
   114	   105	-1593.311015
   115	   106	-1593.342939
   116	   107	-1593.349585
   117	   108	-1593.362366
   118	   109	-1593.380582
   120	   110	-1593.393193
   122	   111	-1593.394200
   123	   112	-1593.406454
   124	   113	-1593.416968
   125	   114	-1593.431691
   127	   115	-1593.436013
   128	   116	-1593.448595
   130	   117	-1593.459411
   131	   118	-1593.464711
   132	   119	-1593.483596
   133	   120	-1593.509065
   135	   121	-1593.510499
   137	   122	-1593.512891
   139	   123	-1593.527246
   140	   124	-1593.529638
   142	   125	-1593.534379
   143	   126	-1593.535834
   144	   127	-1593.539114
   145	   128	-1593.546975
   146	   129	-1593.560100
   150	   130	-1593.568656
   151	   131	-1593.573942
   156	   132	-1593.576283
   161	   133	-1593.586072
   162	   134	-1593.598304
   166	   135	-1593.600422
   167	   136	-1593.607907
   168	   137	-1593.622009
   169	   138	-1593.626671
   170	   139	-1593.629506
   171	   140	-1593.632312
   173	   141	-1593.635090
   174	   142	-1593.641251
   175	   143	-1593.644774
   176	   144	-1593.647556
   182	   145	-1593.656281
   183	   146	-1593.659341
   186	   147	-1593.664471
   189	   148	-1593.667516
   191	   149	-1593.669392
   192	   150	-1593.679157
   197	   151	-1593.684640
   200	   152	-1593.702796
   202	   153	-1593.707057
   212	   154	-1593.710100
   213	   155	-1593.712038
   216	   156	-1593.715386
   219	   157	-1593.718428
   220	   158	-1593.721775
   243	   159	-1593.735279
   253	   160	-1593.741110
   258	   161	-1593.747611
   259	   162	-1593.754174
   303	   163	-1593.762425
   304	   164	-1593.773804
   310	   165	-1593.777849
   408	   166	-1593.779148
   432	   167	-1593.784182
   452	   168	-1593.786373
   481	   169	-1593.793697
   482	   170	-1593.800424
   565	   171	-1593.803903
   603	   172	-1593.808736
   620	   173	-1593.810526
   647	   174	-1593.816959
   747	   174	-1593.817252
   847	   174	-1593.817253
   883	   175	-1593.818419
   983	   175	-1593.818419
  1083	   175	-1593.818419
  1183	   175	-1593.818615
  1214	   176	-1593.820338
  1314	   176	-1593.820338
  1414	   176	-1593.820338
  1514	   176	-1593.820338
  1550	   177	-1593.828304
  1610	   178	-1593.830606
  1710	   178	-1593.830606
  1810	   178	-1593.830606
  1910	   178	-1593.830606
  2010	   178	-1593.830606
  2110	   178	-1593.830606
  2210	   178	-1593.830606
  2310	   178	-1593.830606
  2410	   178	-1593.830606
  2510	   178	-1593.830606
  2610	   178	-1593.830606
