	443	0.8
     0	     0	-1567.886125
     1	     1	-1570.107360
     2	     2	-1571.204749
     3	     3	-1572.109075
     4	     4	-1572.800314
     5	     5	-1573.518503
     6	     6	-1574.079782
     7	     7	-1574.808669
     8	     8	-1575.536582
     9	     9	-1576.400994
    10	    10	-1577.291817
    11	    11	-1577.692319
    12	    12	-1578.251198
    13	    13	-1579.155850
    14	    14	-1579.334608
    15	    15	-1579.548525
    16	    16	-1580.309419
    17	    17	-1580.721550
    18	    18	-1581.285264
    19	    19	-1581.638605
    20	    20	-1581.933157
    21	    21	-1582.849700
    22	    22	-1582.909014
    23	    23	-1583.723904
    24	    24	-1583.915850
    25	    25	-1584.356713
    26	    26	-1584.558738
    27	    27	-1585.082522
    28	    28	-1585.614210
    30	    29	-1585.784793
    31	    30	-1586.177505
    32	    31	-1586.300612
    33	    32	-1586.460697
    34	    33	-1586.875945
    35	    34	-1587.242629
    36	    35	-1587.581958
    37	    36	-1587.805746
    39	    37	-1587.979011
    40	    38	-1588.258678
    41	    39	-1588.641416
    42	    40	-1588.830856
    43	    41	-1588.884253
    44	    42	-1589.123246
    45	    43	-1589.276197
    46	    44	-1589.439444
    47	    45	-1589.815797
    48	    46	-1590.059217
    49	    47	-1590.138153
    50	    48	-1590.507756
    51	    49	-1590.840192
    52	    50	-1590.999271
    53	    51	-1591.135157
    54	    52	-1591.278968
    55	    53	-1591.402853
    56	    54	-1591.563327
    57	    55	-1591.844680
    58	    56	-1592.235616
    59	    57	-1592.308698
    60	    58	-1592.723892
    61	    59	-1592.914832
    62	    60	-1592.980312
    64	    61	-1593.174923
    65	    62	-1593.544236
    66	    63	-1593.799062
    67	    64	-1593.832124
    68	    65	-1593.872551
    69	    66	-1594.013509
    70	    67	-1594.158861
    71	    68	-1594.230304
    72	    69	-1594.350902
    73	    70	-1594.422111
    74	    71	-1594.727565
    76	    72	-1594.987160
    77	    73	-1594.988331
    78	    74	-1595.058755
    79	    75	-1595.132679
    80	    76	-1595.282975
    82	    77	-1595.380054
    83	    78	-1595.527184
    84	    79	-1595.593472
    85	    80	-1595.705278
    86	    81	-1595.828497
    87	    82	-1596.012682
    88	    83	-1596.132353
    89	    84	-1596.279620
    90	    85	-1596.455621
    91	    86	-1596.631586
    92	    87	-1596.681379
    93	    88	-1596.788127
    95	    89	-1596.997163
    96	    90	-1597.077985
    98	    91	-1597.175778
    99	    92	-1597.183061
   100	    93	-1597.291289
   101	    94	-1597.310277
   103	    95	-1597.399282
   104	    96	-1597.448856
   105	    97	-1597.489088
   106	    98	-1597.511759
   107	    99	-1597.594498
   108	   100	-1597.654696
   109	   101	-1597.681407
   110	   102	-1597.732332
   111	   103	-1597.815711
   112	   104	-1597.828740
   113	   105	-1597.930789
   114	   106	-1597.945925
   115	   107	-1597.964466
   116	   108	-1598.035947
   118	   109	-1598.059210
   119	   110	-1598.090574
   120	   111	-1598.155593
   121	   112	-1598.160218
   122	   113	-1598.192318
   123	   114	-1598.258636
   124	   115	-1598.299912
   125	   116	-1598.359313
   126	   117	-1598.389312
   127	   118	-1598.421811
   128	   119	-1598.423094
   129	   120	-1598.505908
   130	   121	-1598.509890
   131	   122	-1598.516505
   132	   123	-1598.552294
   133	   124	-1598.610852
   134	   125	-1598.651130
   137	   126	-1598.691340
   140	   127	-1598.756397
   141	   128	-1598.765892
   142	   129	-1598.777846
   144	   130	-1598.780035
   145	   131	-1598.808092
   146	   132	-1598.820244
   147	   133	-1598.848534
   148	   134	-1598.891794
   149	   135	-1598.893456
   150	   136	-1598.900272
   151	   137	-1598.941782
   152	   138	-1598.947045
   154	   139	-1598.951867
   155	   140	-1598.975477
   157	   141	-1599.007749
   158	   142	-1599.030103
   161	   143	-1599.034390
   162	   144	-1599.052916
   163	   145	-1599.053976
   164	   146	-1599.057316
   165	   147	-1599.068107
   166	   148	-1599.075319
   167	   149	-1599.096350
   169	   150	-1599.116671
   171	   151	-1599.144493
   172	   152	-1599.171133
   175	   153	-1599.184713
   176	   154	-1599.185855
   179	   155	-1599.190765
   180	   156	-1599.219362
   186	   157	-1599.229761
   188	   158	-1599.243463
   190	   159	-1599.249656
   191	   160	-1599.261401
   193	   161	-1599.271050
   195	   162	-1599.279644
   197	   163	-1599.295201
   204	   164	-1599.322231
   216	   165	-1599.326315
   217	   166	-1599.336699
   218	   167	-1599.340753
   230	   168	-1599.353677
   239	   169	-1599.362913
   240	   170	-1599.371940
   242	   171	-1599.372955
   243	   172	-1599.417019
   251	   173	-1599.437043
   255	   174	-1599.442787
   355	   174	-1599.442787
   415	   175	-1599.468348
   509	   176	-1599.471340
   553	   177	-1599.474411
   555	   178	-1599.477192
   620	   179	-1599.486917
   720	   179	-1599.486917
   820	   179	-1599.486917
   920	   179	-1599.486917
  1020	   179	-1599.486917
  1120	   179	-1599.486917
  1220	   179	-1599.486917
  1320	   179	-1599.486917
  1420	   179	-1599.486917
  1520	   179	-1599.486917
  1620	   179	-1599.486917
