	443	0.5
     0	     0	-1583.002987
     1	     1	-1583.895717
     3	     2	-1584.272911
     4	     3	-1584.371148
     5	     4	-1584.413758
     6	     5	-1584.563525
     7	     6	-1584.764931
     8	     7	-1584.921716
     9	     8	-1584.994442
    10	     9	-1585.123111
    11	    10	-1585.219661
    12	    11	-1585.322168
    13	    12	-1585.594904
    14	    13	-1585.904301
    15	    14	-1585.928787
    16	    15	-1586.185480
    17	    16	-1586.269801
    18	    17	-1586.430479
    19	    18	-1586.583034
    21	    19	-1586.606314
    22	    20	-1586.852495
    24	    21	-1587.023674
    25	    22	-1587.121123
    26	    23	-1587.335810
    27	    24	-1587.467893
    29	    25	-1587.590917
    30	    26	-1587.696295
    31	    27	-1587.926817
    32	    28	-1587.994924
    33	    29	-1588.144486
    34	    30	-1588.255451
    35	    31	-1588.449976
    38	    32	-1588.503156
    39	    33	-1588.667756
    40	    34	-1588.778785
    41	    35	-1588.862473
    42	    36	-1588.886243
    43	    37	-1589.042071
    44	    38	-1589.134780
    45	    39	-1589.326923
    47	    40	-1589.409982
    48	    41	-1589.596851
    49	    42	-1589.727806
    50	    43	-1589.799290
    51	    44	-1589.908241
    52	    45	-1589.954132
    53	    46	-1590.218131
    54	    47	-1590.247764
    55	    48	-1590.322315
    56	    49	-1590.368917
    57	    50	-1590.411400
    58	    51	-1590.447647
    59	    52	-1590.561356
    60	    53	-1590.757530
    61	    54	-1590.804197
    62	    55	-1590.825003
    63	    56	-1590.866422
    64	    57	-1591.019096
    65	    58	-1591.072814
    66	    59	-1591.198484
    67	    60	-1591.289854
    68	    61	-1591.322633
    69	    62	-1591.487125
    70	    63	-1591.501817
    71	    64	-1591.575062
    72	    65	-1591.632914
    73	    66	-1591.634216
    74	    67	-1591.643101
    75	    68	-1591.715275
    76	    69	-1591.751297
    77	    70	-1591.789941
    78	    71	-1591.966363
    80	    72	-1591.989725
    81	    73	-1592.011930
    82	    74	-1592.100705
    83	    75	-1592.107524
    84	    76	-1592.182627
    85	    77	-1592.200267
    86	    78	-1592.210203
    87	    79	-1592.259367
    88	    80	-1592.266514
    89	    81	-1592.336799
    90	    82	-1592.370542
    91	    83	-1592.440983
    92	    84	-1592.531741
    93	    85	-1592.537842
    94	    86	-1592.578987
    95	    87	-1592.622191
    96	    88	-1592.666601
    97	    89	-1592.724817
    98	    90	-1592.759702
    99	    91	-1592.764925
   100	    92	-1592.813282
   101	    93	-1592.854300
   102	    94	-1592.874173
   104	    95	-1592.881118
   106	    96	-1592.890456
   107	    97	-1592.941941
   108	    98	-1592.960311
   109	    99	-1592.973315
   110	   100	-1592.982623
   111	   101	-1593.004009
   112	   102	-1593.068348
   114	   103	-1593.074077
   115	   104	-1593.135340
   116	   105	-1593.170238
   119	   106	-1593.179739
   120	   107	-1593.184869
   121	   108	-1593.198491
   122	   109	-1593.206811
   123	   110	-1593.244997
   124	   111	-1593.247680
   125	   112	-1593.260628
   126	   113	-1593.263843
   127	   114	-1593.279241
   130	   115	-1593.295157
   131	   116	-1593.309268
   132	   117	-1593.311371
   133	   118	-1593.319689
   134	   119	-1593.339321
   135	   120	-1593.351480
   136	   121	-1593.357400
   137	   122	-1593.362389
   138	   123	-1593.383100
   139	   124	-1593.401512
   142	   125	-1593.417932
   143	   126	-1593.422652
   145	   127	-1593.433558
   146	   128	-1593.440643
   150	   129	-1593.449300
   151	   130	-1593.460550
   152	   131	-1593.481812
   154	   132	-1593.483458
   155	   133	-1593.487059
   156	   134	-1593.497235
   157	   135	-1593.499613
   158	   136	-1593.504357
   159	   137	-1593.508734
   160	   138	-1593.511828
   161	   139	-1593.519770
   165	   140	-1593.526372
   166	   141	-1593.548089
   170	   142	-1593.564316
   172	   143	-1593.567478
   175	   144	-1593.570833
   176	   145	-1593.579638
   183	   146	-1593.596638
   188	   147	-1593.600068
   191	   148	-1593.610291
   199	   149	-1593.612541
   204	   150	-1593.615510
   208	   151	-1593.620377
   209	   152	-1593.623743
   210	   153	-1593.625994
   214	   154	-1593.630468
   218	   155	-1593.632724
   220	   156	-1593.652242
   223	   157	-1593.655558
   226	   158	-1593.658130
   227	   159	-1593.661226
   228	   160	-1593.663056
   250	   161	-1593.665950
   272	   162	-1593.670520
   278	   163	-1593.671659
   279	   164	-1593.672683
   311	   165	-1593.674784
   312	   166	-1593.681808
   313	   167	-1593.683657
   321	   168	-1593.684755
   328	   169	-1593.687020
   343	   170	-1593.704321
   364	   171	-1593.705850
   388	   172	-1593.707394
   392	   173	-1593.711299
   395	   174	-1593.714419
   396	   175	-1593.718485
   413	   176	-1593.720665
   415	   177	-1593.725565
   416	   178	-1593.734147
   421	   179	-1593.738773
   475	   180	-1593.747089
   476	   181	-1593.750502
   482	   182	-1593.752195
   483	   183	-1593.754009
   540	   184	-1593.766229
   549	   185	-1593.767359
   557	   186	-1593.769587
   558	   187	-1593.773460
   613	   188	-1593.778700
   638	   189	-1593.785811
   654	   190	-1593.792674
   672	   191	-1593.796645
   699	   192	-1593.799332
   713	   193	-1593.802263
   718	   194	-1593.805044
   719	   195	-1593.806233
   753	   196	-1593.807614
   789	   197	-1593.812864
   889	   197	-1593.812864
   912	   198	-1593.815105
   918	   199	-1593.816808
   980	   200	-1593.822833
   987	   201	-1593.824677
  1087	   201	-1593.824943
  1187	   201	-1593.824943
  1287	   201	-1593.824968
  1319	   202	-1593.827089
  1419	   202	-1593.827121
  1519	   202	-1593.827121
  1619	   202	-1593.827121
  1719	   202	-1593.827121
  1819	   202	-1593.827121
  1919	   202	-1593.827121
  2019	   202	-1593.827121
  2119	   202	-1593.827121
  2219	   202	-1593.827121
  2319	   202	-1593.827121
