	443	0.2
     0	     0	-1559.982788
     1	     1	-1560.155990
     2	     2	-1560.412140
     3	     3	-1560.525960
     4	     4	-1560.942448
     5	     5	-1561.071526
     6	     6	-1561.189940
     7	     7	-1561.516933
     8	     8	-1561.600931
     9	     9	-1561.820213
    10	    10	-1562.025651
    11	    11	-1562.062445
    12	    12	-1562.136351
    13	    13	-1562.171764
    14	    14	-1562.416628
    15	    15	-1562.681352
    17	    16	-1562.868302
    18	    17	-1563.019655
    19	    18	-1563.046391
    20	    19	-1563.174295
    21	    20	-1563.363557
    23	    21	-1563.464162
    24	    22	-1563.633314
    25	    23	-1563.677444
    26	    24	-1563.958675
    27	    25	-1563.982367
    28	    26	-1564.111692
    29	    27	-1564.183142
    30	    28	-1564.246636
    33	    29	-1564.440224
    34	    30	-1564.546961
    35	    31	-1564.724844
    36	    32	-1564.905884
    37	    33	-1565.037552
    38	    34	-1565.059499
    40	    35	-1565.160903
    41	    36	-1565.279849
    42	    37	-1565.524410
    43	    38	-1565.550846
    44	    39	-1565.722517
    46	    40	-1565.796001
    47	    41	-1565.921447
    49	    42	-1565.940798
    50	    43	-1565.979080
    51	    44	-1566.061570
    52	    45	-1566.108208
    53	    46	-1566.206998
    54	    47	-1566.293966
    55	    48	-1566.398669
    56	    49	-1566.496993
    57	    50	-1566.594765
    58	    51	-1566.611119
    59	    52	-1566.664211
    60	    53	-1566.736974
    61	    54	-1566.832277
    62	    55	-1566.840701
    63	    56	-1566.871265
    64	    57	-1567.008915
    65	    58	-1567.045507
    66	    59	-1567.061859
    67	    60	-1567.126865
    68	    61	-1567.192189
    69	    62	-1567.239840
    70	    63	-1567.253001
    71	    64	-1567.262075
    72	    65	-1567.284312
    73	    66	-1567.303677
    74	    67	-1567.341831
    75	    68	-1567.379749
    76	    69	-1567.393982
    77	    70	-1567.406860
    78	    71	-1567.504069
    79	    72	-1567.518665
    80	    73	-1567.564091
    81	    74	-1567.593533
    83	    75	-1567.631093
    84	    76	-1567.643793
    85	    77	-1567.653573
    87	    78	-1567.665190
    88	    79	-1567.687670
    89	    80	-1567.736135
    92	    81	-1567.764749
    93	    82	-1567.768347
    94	    83	-1567.773479
    95	    84	-1567.800863
    96	    85	-1567.829521
    97	    86	-1567.835567
    98	    87	-1567.846947
    99	    88	-1567.891805
   100	    89	-1567.895573
   101	    90	-1567.907244
   102	    91	-1567.919239
   104	    92	-1567.926816
   105	    93	-1567.937041
   107	    94	-1567.955634
   109	    95	-1567.960789
   110	    96	-1567.964217
   111	    97	-1567.982422
   112	    98	-1567.996127
   113	    99	-1568.016466
   114	   100	-1568.043261
   119	   101	-1568.052862
   120	   102	-1568.064118
   121	   103	-1568.102156
   126	   104	-1568.122335
   127	   105	-1568.128033
   128	   106	-1568.131733
   131	   107	-1568.135435
   132	   108	-1568.151286
   133	   109	-1568.156262
   134	   110	-1568.165828
   135	   111	-1568.169786
   136	   112	-1568.184273
   137	   113	-1568.185394
   138	   114	-1568.198190
   139	   115	-1568.200124
   140	   116	-1568.212738
   142	   117	-1568.231654
   143	   118	-1568.251249
   151	   119	-1568.261787
   153	   120	-1568.272410
   154	   121	-1568.291942
   155	   122	-1568.301498
   156	   123	-1568.303613
   162	   124	-1568.306423
   164	   125	-1568.314236
   167	   126	-1568.316314
   170	   127	-1568.334979
   171	   128	-1568.337039
   187	   129	-1568.343737
   194	   130	-1568.355258
   196	   131	-1568.363056
   210	   132	-1568.365090
   226	   133	-1568.383477
   230	   134	-1568.394791
   231	   135	-1568.414172
   238	   136	-1568.415973
   251	   137	-1568.424087
   308	   138	-1568.425107
   408	   138	-1568.425813
   508	   138	-1568.425813
   608	   138	-1568.425813
   708	   138	-1568.425813
   808	   138	-1568.425813
   908	   138	-1568.425813
  1008	   138	-1568.425813
  1108	   138	-1568.425813
  1208	   138	-1568.425813
  1308	   138	-1568.425813
