	443	0.1
     0	     0	-1549.296401
     1	     1	-1549.602680
     2	     2	-1549.812154
     3	     3	-1550.201792
     4	     4	-1550.366768
     5	     5	-1550.489656
     6	     6	-1550.658836
     7	     7	-1550.772832
     8	     8	-1551.223487
     9	     9	-1551.425474
    11	    10	-1551.487165
    13	    11	-1551.646037
    14	    12	-1551.783361
    15	    13	-1551.806971
    16	    14	-1552.029066
    17	    15	-1552.089000
    18	    16	-1552.226451
    19	    17	-1552.270242
    21	    18	-1552.305300
    23	    19	-1552.488889
    24	    20	-1552.535284
    25	    21	-1552.648405
    27	    22	-1552.687242
    28	    23	-1552.723443
    29	    24	-1552.810272
    30	    25	-1552.897155
    31	    26	-1553.005688
    32	    27	-1553.028551
    33	    28	-1553.110875
    34	    29	-1553.133410
    36	    30	-1553.189344
    37	    31	-1553.221517
    38	    32	-1553.230361
    39	    33	-1553.242832
    40	    34	-1553.264031
    41	    35	-1553.279368
    43	    36	-1553.352196
    44	    37	-1553.357656
    45	    38	-1553.421664
    46	    39	-1553.447246
    47	    40	-1553.456491
    48	    41	-1553.492218
    49	    42	-1553.506461
    50	    43	-1553.523045
    51	    44	-1553.532489
    52	    45	-1553.540069
    53	    46	-1553.573344
    54	    47	-1553.603733
    55	    48	-1553.623637
    56	    49	-1553.642644
    57	    50	-1553.644058
    58	    51	-1553.657026
    59	    52	-1553.693457
    60	    53	-1553.709203
    61	    54	-1553.717394
    62	    55	-1553.735381
    63	    56	-1553.768082
    64	    57	-1553.773361
    65	    58	-1553.775227
    66	    59	-1553.783757
    67	    60	-1553.799438
    68	    61	-1553.818538
    71	    62	-1553.830177
    72	    63	-1553.881798
    73	    64	-1553.909995
    74	    65	-1553.947703
    75	    66	-1554.000643
    77	    67	-1554.026505
    80	    68	-1554.034608
    83	    69	-1554.054082
    84	    70	-1554.064426
    88	    71	-1554.073126
    89	    72	-1554.074498
    90	    73	-1554.088605
    92	    74	-1554.103074
    94	    75	-1554.105195
    95	    76	-1554.124419
    96	    77	-1554.141008
   115	    78	-1554.142058
   119	    79	-1554.143114
   219	    79	-1554.143849
   319	    79	-1554.143849
   419	    79	-1554.143849
   519	    79	-1554.143849
   619	    79	-1554.143849
   719	    79	-1554.143849
   819	    79	-1554.143849
   919	    79	-1554.143849
  1019	    79	-1554.143849
  1119	    79	-1554.143849
