	443	0.5
     0	     0	-1582.885702
     1	     1	-1583.267920
     2	     2	-1583.465911
     3	     3	-1583.705999
     4	     4	-1583.932860
     6	     5	-1583.957548
     7	     6	-1584.160004
     9	     7	-1584.277243
    10	     8	-1584.412441
    11	     9	-1584.524226
    12	    10	-1584.715135
    14	    11	-1584.757338
    15	    12	-1584.985170
    18	    13	-1585.056572
    19	    14	-1585.075943
    20	    15	-1585.136033
    21	    16	-1585.218861
    22	    17	-1585.307085
    23	    18	-1585.438664
    26	    19	-1585.471473
    27	    20	-1585.500482
    28	    21	-1585.609257
    29	    22	-1585.629308
    31	    23	-1585.688280
    32	    24	-1585.785966
    33	    25	-1585.809390
    34	    26	-1585.853041
    35	    27	-1585.860552
    36	    28	-1585.871103
    38	    29	-1585.880443
    39	    30	-1585.944642
    40	    31	-1585.946844
    41	    32	-1585.976475
    42	    33	-1586.024844
    43	    34	-1586.050144
    44	    35	-1586.089942
    47	    36	-1586.115283
    51	    37	-1586.122031
    52	    38	-1586.127654
    53	    39	-1586.141546
    54	    40	-1586.159711
    55	    41	-1586.170278
    59	    42	-1586.184369
    60	    43	-1586.186529
    65	    44	-1586.191404
    67	    45	-1586.200042
    68	    46	-1586.203471
   168	    46	-1586.203471
   268	    46	-1586.203471
   368	    46	-1586.203471
   468	    46	-1586.203471
   568	    46	-1586.203471
   668	    46	-1586.203471
   768	    46	-1586.203471
   868	    46	-1586.203471
   968	    46	-1586.203471
  1068	    46	-1586.203471
