	443	0.5
     0	     0	-1583.425625
     1	     1	-1583.773144
     4	     2	-1583.927778
     5	     3	-1584.060992
     6	     4	-1584.168347
     7	     5	-1584.344621
     8	     6	-1584.412392
     9	     7	-1584.664244
    10	     8	-1585.087302
    13	     9	-1585.171034
    15	    10	-1585.420515
    17	    11	-1585.467901
    18	    12	-1585.546761
    19	    13	-1585.548158
    20	    14	-1585.624250
    21	    15	-1585.668430
    22	    16	-1585.757593
    24	    17	-1585.826614
    26	    18	-1585.931031
    27	    19	-1585.943416
    29	    20	-1585.961564
    30	    21	-1585.998842
    31	    22	-1586.051497
    32	    23	-1586.102381
    34	    24	-1586.177381
    35	    25	-1586.266597
    37	    26	-1586.269564
    38	    27	-1586.288339
    39	    28	-1586.299407
    40	    29	-1586.331808
    41	    30	-1586.360870
    42	    31	-1586.371978
    44	    32	-1586.383738
    45	    33	-1586.407752
    47	    34	-1586.415115
    50	    35	-1586.420461
    54	    36	-1586.423449
    55	    37	-1586.430744
   155	    37	-1586.431340
   255	    37	-1586.431340
   355	    37	-1586.431340
   455	    37	-1586.431340
   555	    37	-1586.431340
   655	    37	-1586.431340
   755	    37	-1586.431340
   855	    37	-1586.431340
   955	    37	-1586.431340
  1055	    37	-1586.431340
