	443	0.5
     0	     0	-1583.115136
     1	     1	-1583.199218
     2	     2	-1583.447125
     3	     3	-1583.832759
     4	     4	-1583.881852
     5	     5	-1583.979018
     6	     6	-1584.089377
     7	     7	-1584.151026
     8	     8	-1584.369267
     9	     9	-1584.554087
    10	    10	-1584.604233
    11	    11	-1585.114982
    12	    12	-1585.199364
    14	    13	-1585.661414
    15	    14	-1585.900597
    17	    15	-1586.002768
    18	    16	-1586.075165
    19	    17	-1586.272353
    20	    18	-1586.386069
    21	    19	-1586.454454
    22	    20	-1586.634316
    23	    21	-1586.969132
    24	    22	-1587.406781
    25	    23	-1587.415605
    26	    24	-1587.537925
    27	    25	-1587.604136
    28	    26	-1587.708103
    29	    27	-1587.879182
    30	    28	-1587.976247
    31	    29	-1588.075176
    32	    30	-1588.391450
    33	    31	-1588.465568
    34	    32	-1588.566230
    35	    33	-1588.583350
    36	    34	-1588.779998
    37	    35	-1588.888490
    39	    36	-1588.989967
    40	    37	-1589.021724
    41	    38	-1589.124533
    42	    39	-1589.277428
    43	    40	-1589.399853
    44	    41	-1589.541014
    45	    42	-1589.792588
    46	    43	-1589.832209
    47	    44	-1589.950600
    48	    45	-1590.058811
    49	    46	-1590.107819
    50	    47	-1590.149354
    51	    48	-1590.185241
    52	    49	-1590.277236
    53	    50	-1590.304788
    54	    51	-1590.398779
    55	    52	-1590.425208
    56	    53	-1590.537748
    57	    54	-1590.589557
    58	    55	-1590.734624
    59	    56	-1590.830127
    60	    57	-1590.873446
    61	    58	-1590.948129
    62	    59	-1591.085654
    63	    60	-1591.216199
    64	    61	-1591.230996
    65	    62	-1591.257365
    66	    63	-1591.426305
    67	    64	-1591.557680
    68	    65	-1591.647115
    69	    66	-1591.744121
    70	    67	-1591.777107
    71	    68	-1591.827628
    72	    69	-1591.887794
    73	    70	-1591.987068
    75	    71	-1592.000674
    77	    72	-1592.066967
    78	    73	-1592.081831
    79	    74	-1592.181247
    80	    75	-1592.209239
    81	    76	-1592.227929
    82	    77	-1592.242309
    83	    78	-1592.282889
    84	    79	-1592.318121
    85	    80	-1592.375957
    86	    81	-1592.387853
    87	    82	-1592.429623
    88	    83	-1592.489685
    89	    84	-1592.494312
    90	    85	-1592.504503
    91	    86	-1592.565459
    92	    87	-1592.625980
    93	    88	-1592.641844
    94	    89	-1592.675567
    95	    90	-1592.679106
    96	    91	-1592.701463
    97	    92	-1592.734042
    98	    93	-1592.755361
    99	    94	-1592.759934
   100	    95	-1592.772408
   101	    96	-1592.799851
   102	    97	-1592.831783
   103	    98	-1592.879672
   104	    99	-1592.917694
   105	   100	-1592.999437
   106	   101	-1593.033188
   108	   102	-1593.044834
   109	   103	-1593.047220
   110	   104	-1593.069617
   111	   105	-1593.087148
   112	   106	-1593.089673
   113	   107	-1593.120606
   114	   108	-1593.122847
   115	   109	-1593.167784
   116	   110	-1593.198931
   118	   111	-1593.231146
   119	   112	-1593.257854
   121	   113	-1593.273137
   122	   114	-1593.275618
   123	   115	-1593.284450
   124	   116	-1593.304017
   126	   117	-1593.309587
   127	   118	-1593.319838
   128	   119	-1593.347802
   129	   120	-1593.364720
   130	   121	-1593.367007
   131	   122	-1593.391710
   132	   123	-1593.405218
   134	   124	-1593.419055
   136	   125	-1593.457306
   137	   126	-1593.466896
   138	   127	-1593.469116
   139	   128	-1593.471471
   140	   129	-1593.473934
   141	   130	-1593.478336
   143	   131	-1593.499688
   148	   132	-1593.507298
   149	   133	-1593.510206
   150	   134	-1593.519789
   151	   135	-1593.528772
   152	   136	-1593.534586
   154	   137	-1593.536684
   155	   138	-1593.545441
   156	   139	-1593.554047
   157	   140	-1593.558927
   160	   141	-1593.566772
   162	   142	-1593.581185
   164	   143	-1593.587757
   165	   144	-1593.591735
   166	   145	-1593.600703
   169	   146	-1593.607993
   172	   147	-1593.609077
   173	   148	-1593.618304
   174	   149	-1593.619414
   176	   150	-1593.624899
   178	   151	-1593.628877
   180	   152	-1593.639990
   185	   153	-1593.641512
   188	   154	-1593.650485
   193	   155	-1593.656713
   194	   156	-1593.662337
   207	   157	-1593.675502
   213	   158	-1593.677247
   215	   159	-1593.682090
   219	   160	-1593.685784
   220	   161	-1593.691042
   222	   162	-1593.695383
   223	   163	-1593.697704
   241	   164	-1593.699958
   243	   165	-1593.701171
   244	   166	-1593.708195
   267	   167	-1593.717368
   269	   168	-1593.725411
   276	   169	-1593.734656
   295	   170	-1593.740513
   302	   171	-1593.745748
   342	   172	-1593.755499
   364	   173	-1593.757654
   365	   174	-1593.764476
   366	   175	-1593.766631
   374	   176	-1593.769280
   385	   177	-1593.772088
   427	   178	-1593.775466
   500	   179	-1593.777161
   567	   180	-1593.786492
   667	   180	-1593.786492
   755	   181	-1593.791220
   778	   182	-1593.798075
   806	   183	-1593.803883
   811	   184	-1593.806479
   908	   185	-1593.810976
   932	   186	-1593.817102
   962	   187	-1593.821563
  1062	   187	-1593.821563
  1162	   187	-1593.821563
  1262	   187	-1593.821814
  1289	   188	-1593.825529
  1389	   188	-1593.825529
  1405	   189	-1593.827363
  1505	   189	-1593.827400
  1602	   190	-1593.828570
  1702	   190	-1593.828570
  1802	   190	-1593.828570
  1902	   190	-1593.828570
  2002	   190	-1593.828570
  2007	   191	-1593.831506
  2043	   192	-1593.833653
  2070	   193	-1593.835471
  2170	   193	-1593.835688
  2173	   194	-1593.837254
  2273	   194	-1593.837254
  2373	   194	-1593.837254
  2473	   194	-1593.837254
  2573	   194	-1593.837254
  2673	   194	-1593.837258
  2773	   194	-1593.837258
  2815	   195	-1593.838781
  2915	   195	-1593.838835
  3015	   195	-1593.838835
  3115	   195	-1593.838835
  3215	   195	-1593.838835
  3315	   195	-1593.838835
  3415	   195	-1593.838835
  3515	   195	-1593.838835
  3615	   195	-1593.838835
  3715	   195	-1593.838835
  3815	   195	-1593.838835
