	443	0.5
     0	     0	-1582.984021
     1	     1	-1583.553314
     2	     2	-1583.675704
     3	     3	-1583.883399
     4	     4	-1584.288016
     5	     5	-1584.302121
     6	     6	-1584.445612
     8	     7	-1584.979800
     9	     8	-1585.139540
    10	     9	-1585.277127
    11	    10	-1585.630308
    12	    11	-1585.717297
    13	    12	-1585.772360
    14	    13	-1585.994657
    15	    14	-1586.052428
    16	    15	-1586.152586
    17	    16	-1586.291647
    18	    17	-1586.315084
    20	    18	-1586.731655
    22	    19	-1586.939425
    23	    20	-1587.000514
    24	    21	-1587.052610
    25	    22	-1587.249628
    26	    23	-1587.366598
    27	    24	-1587.802802
    29	    25	-1587.847417
    30	    26	-1587.969624
    32	    27	-1588.124435
    33	    28	-1588.231477
    34	    29	-1588.375082
    35	    30	-1588.528871
    36	    31	-1588.591853
    37	    32	-1588.661405
    38	    33	-1588.766951
    39	    34	-1588.929386
    40	    35	-1588.937522
    41	    36	-1589.139770
    42	    37	-1589.239554
    43	    38	-1589.261309
    44	    39	-1589.322015
    45	    40	-1589.411315
    46	    41	-1589.468857
    47	    42	-1589.567772
    48	    43	-1589.658231
    49	    44	-1589.892666
    50	    45	-1589.900695
    51	    46	-1590.055255
    52	    47	-1590.147132
    53	    48	-1590.196992
    54	    49	-1590.278314
    55	    50	-1590.370341
    56	    51	-1590.503149
    57	    52	-1590.518634
    58	    53	-1590.607425
    59	    54	-1590.825671
    62	    55	-1590.922019
    63	    56	-1590.936217
    64	    57	-1591.050446
    66	    58	-1591.053562
    67	    59	-1591.153927
    68	    60	-1591.239438
    69	    61	-1591.289571
    70	    62	-1591.323708
    71	    63	-1591.447933
    72	    64	-1591.473996
    73	    65	-1591.547893
    74	    66	-1591.697228
    75	    67	-1591.745218
    76	    68	-1591.825979
    77	    69	-1591.864017
    78	    70	-1591.924879
    79	    71	-1591.931845
    80	    72	-1591.950268
    81	    73	-1592.013319
    82	    74	-1592.089088
    83	    75	-1592.128660
    84	    76	-1592.131090
    86	    77	-1592.159129
    87	    78	-1592.257927
    88	    79	-1592.285516
    89	    80	-1592.379328
    90	    81	-1592.427481
    91	    82	-1592.438266
    92	    83	-1592.451094
    93	    84	-1592.487792
    94	    85	-1592.527655
    95	    86	-1592.561360
    96	    87	-1592.576397
    97	    88	-1592.606562
    98	    89	-1592.636852
    99	    90	-1592.646793
   100	    91	-1592.680850
   101	    92	-1592.694505
   102	    93	-1592.705596
   103	    94	-1592.767743
   104	    95	-1592.795250
   105	    96	-1592.818091
   106	    97	-1592.836618
   107	    98	-1592.849370
   108	    99	-1592.867253
   109	   100	-1592.941365
   110	   101	-1592.956201
   112	   102	-1592.993904
   113	   103	-1593.038080
   114	   104	-1593.046137
   115	   105	-1593.066153
   116	   106	-1593.083946
   117	   107	-1593.104241
   119	   108	-1593.116165
   120	   109	-1593.168106
   121	   110	-1593.180612
   122	   111	-1593.182610
   123	   112	-1593.196367
   124	   113	-1593.209222
   125	   114	-1593.217379
   126	   115	-1593.230577
   127	   116	-1593.238718
   128	   117	-1593.242297
   129	   118	-1593.268091
   130	   119	-1593.283878
   131	   120	-1593.291613
   132	   121	-1593.306501
   134	   122	-1593.309362
   135	   123	-1593.323785
   137	   124	-1593.332908
   138	   125	-1593.338523
   139	   126	-1593.380088
   140	   127	-1593.385703
   141	   128	-1593.387790
   142	   129	-1593.393405
   144	   130	-1593.395704
   145	   131	-1593.415752
   146	   132	-1593.421886
   147	   133	-1593.443856
   151	   134	-1593.468571
   153	   135	-1593.480314
   154	   136	-1593.488922
   155	   137	-1593.495153
   156	   138	-1593.498914
   157	   139	-1593.500430
   158	   140	-1593.508185
   160	   141	-1593.512464
   161	   142	-1593.524752
   165	   143	-1593.532457
   168	   144	-1593.538308
   169	   145	-1593.563481
   170	   146	-1593.586118
   174	   147	-1593.596660
   183	   148	-1593.599666
   184	   149	-1593.602784
   186	   150	-1593.605192
   187	   151	-1593.608327
   188	   152	-1593.618544
   196	   153	-1593.623924
   200	   154	-1593.626993
   206	   155	-1593.630328
   210	   156	-1593.637284
   215	   157	-1593.651045
   226	   158	-1593.654219
   243	   159	-1593.662392
   247	   160	-1593.664139
   265	   161	-1593.679798
   288	   162	-1593.681338
   289	   163	-1593.688842
   290	   164	-1593.690492
   291	   165	-1593.702526
   292	   166	-1593.711765
   298	   167	-1593.715975
   302	   168	-1593.723127
   310	   169	-1593.725649
   317	   170	-1593.731119
   322	   171	-1593.732424
   328	   172	-1593.734056
   336	   173	-1593.735479
   338	   174	-1593.736741
   339	   175	-1593.745082
   341	   176	-1593.751197
   361	   177	-1593.752471
   365	   178	-1593.764922
   366	   179	-1593.770062
   371	   180	-1593.773467
   382	   181	-1593.777976
   412	   182	-1593.789803
   417	   183	-1593.791401
   433	   184	-1593.794199
   464	   185	-1593.795625
   467	   186	-1593.798556
   468	   187	-1593.805896
   472	   188	-1593.817813
   572	   188	-1593.818446
   635	   189	-1593.824830
   735	   190	-1593.834036
   801	   191	-1593.838992
   846	   192	-1593.841465
   946	   192	-1593.841465
  1046	   192	-1593.841465
  1146	   192	-1593.841465
  1246	   192	-1593.841835
  1283	   193	-1593.845514
  1383	   193	-1593.845514
  1399	   194	-1593.851535
  1499	   194	-1593.851535
  1538	   195	-1593.858554
  1600	   196	-1593.864873
  1693	   197	-1593.869190
  1793	   197	-1593.869190
  1893	   197	-1593.869190
  1993	   197	-1593.869300
  2093	   197	-1593.869300
  2193	   197	-1593.869300
  2293	   197	-1593.869607
  2393	   197	-1593.870043
  2493	   197	-1593.870043
  2593	   197	-1593.870043
  2693	   197	-1593.870043
