	443	0.8
     0	     0	-1587.761573
     1	     1	-1588.157287
     2	     2	-1588.603793
     3	     3	-1588.871644
     4	     4	-1589.075930
     6	     5	-1589.254711
     8	     6	-1589.565865
    10	     7	-1589.587682
    11	     8	-1589.828951
    12	     9	-1590.068418
    13	    10	-1590.381933
    14	    11	-1590.661506
    15	    12	-1590.729978
    16	    13	-1591.020260
    18	    14	-1591.139274
    19	    15	-1591.151020
    20	    16	-1591.387651
    21	    17	-1591.596546
    22	    18	-1592.120204
    23	    19	-1592.333091
    25	    20	-1592.417762
    26	    21	-1592.561289
    27	    22	-1592.687569
    28	    23	-1592.818017
    29	    24	-1592.955330
    30	    25	-1592.961761
    31	    26	-1593.287878
    33	    27	-1593.524650
    34	    28	-1593.678421
    35	    29	-1593.823859
    36	    30	-1594.127708
    37	    31	-1594.209582
    38	    32	-1594.369963
    39	    33	-1594.513852
    40	    34	-1594.574719
    41	    35	-1594.643707
    42	    36	-1594.844448
    43	    37	-1594.850973
    44	    38	-1594.971727
    45	    39	-1595.169547
    46	    40	-1595.212619
    47	    41	-1595.371634
    48	    42	-1595.416790
    49	    43	-1595.525162
    50	    44	-1595.608353
    51	    45	-1595.691863
    52	    46	-1595.796597
    53	    47	-1595.852387
    54	    48	-1595.992825
    55	    49	-1596.121151
    56	    50	-1596.153378
    57	    51	-1596.323270
    58	    52	-1596.353966
    59	    53	-1596.530677
    60	    54	-1596.547569
    61	    55	-1596.607972
    62	    56	-1596.691602
    63	    57	-1596.915214
    65	    58	-1597.039424
    66	    59	-1597.139036
    67	    60	-1597.217040
    68	    61	-1597.346715
    69	    62	-1597.400082
    70	    63	-1597.409672
    71	    64	-1597.558538
    72	    65	-1597.577831
    73	    66	-1597.610416
    74	    67	-1597.660395
    75	    68	-1597.674469
    76	    69	-1597.680847
    77	    70	-1597.718558
    78	    71	-1597.774621
    79	    72	-1597.803338
    80	    73	-1597.902629
    81	    74	-1597.914494
    82	    75	-1597.916345
    83	    76	-1597.970608
    84	    77	-1598.040608
    85	    78	-1598.069113
    87	    79	-1598.079359
    88	    80	-1598.162151
    89	    81	-1598.173003
    91	    82	-1598.241275
    92	    83	-1598.261382
    93	    84	-1598.311600
    94	    85	-1598.369391
    95	    86	-1598.428588
    96	    87	-1598.455357
    97	    88	-1598.495436
    98	    89	-1598.521053
    99	    90	-1598.546352
   100	    91	-1598.571406
   101	    92	-1598.623056
   104	    93	-1598.663480
   105	    94	-1598.676962
   106	    95	-1598.704448
   108	    96	-1598.710946
   109	    97	-1598.716347
   110	    98	-1598.732436
   111	    99	-1598.764764
   112	   100	-1598.797131
   113	   101	-1598.803069
   114	   102	-1598.833654
   115	   103	-1598.847380
   117	   104	-1598.907057
   118	   105	-1598.949157
   119	   106	-1598.962982
   120	   107	-1598.970674
   121	   108	-1599.018689
   123	   109	-1599.061440
   124	   110	-1599.073334
   126	   111	-1599.098404
   127	   112	-1599.127686
   133	   113	-1599.148480
   134	   114	-1599.159594
   135	   115	-1599.177827
   137	   116	-1599.179666
   140	   117	-1599.194694
   141	   118	-1599.203177
   142	   119	-1599.236660
   143	   120	-1599.279084
   156	   121	-1599.299730
   161	   122	-1599.302178
   167	   123	-1599.317320
   183	   124	-1599.328962
   184	   125	-1599.332819
   185	   126	-1599.342498
   191	   127	-1599.347116
   192	   128	-1599.349457
   193	   129	-1599.356524
   196	   130	-1599.358366
   198	   131	-1599.364443
   231	   132	-1599.374642
   259	   133	-1599.378244
   309	   134	-1599.395907
   320	   135	-1599.406005
   349	   136	-1599.409686
   364	   137	-1599.420584
   385	   138	-1599.422855
   465	   139	-1599.432501
   535	   140	-1599.443648
   635	   140	-1599.443648
   666	   141	-1599.446186
   699	   142	-1599.448757
   799	   142	-1599.448757
   823	   143	-1599.450531
   848	   144	-1599.454261
   926	   145	-1599.457274
  1026	   145	-1599.457274
  1067	   146	-1599.460279
  1167	   146	-1599.460279
  1253	   147	-1599.464138
  1353	   147	-1599.464503
  1384	   148	-1599.468441
  1419	   149	-1599.470187
  1519	   149	-1599.470187
  1572	   150	-1599.480944
  1672	   150	-1599.480944
  1772	   150	-1599.480944
  1872	   150	-1599.480944
  1972	   150	-1599.480944
  2072	   150	-1599.480944
  2172	   150	-1599.480944
  2272	   150	-1599.480944
  2372	   150	-1599.480944
  2472	   150	-1599.480944
  2572	   150	-1599.480944
