	443	0.5
     0	     0	-1582.455450
     1	     1	-1583.258439
     2	     2	-1583.708006
     3	     3	-1583.834741
     4	     4	-1583.879762
     5	     5	-1584.082111
     6	     6	-1584.143479
     7	     7	-1584.360281
     8	     8	-1584.560278
    10	     9	-1584.774176
    12	    10	-1584.844832
    13	    11	-1585.051983
    14	    12	-1585.394684
    15	    13	-1585.539063
    16	    14	-1585.714532
    17	    15	-1585.810232
    18	    16	-1585.943162
    19	    17	-1586.009995
    20	    18	-1586.078974
    21	    19	-1586.242877
    22	    20	-1586.459336
    23	    21	-1586.886999
    25	    22	-1586.908535
    26	    23	-1587.024687
    27	    24	-1587.154396
    28	    25	-1587.292369
    29	    26	-1587.474804
    31	    27	-1587.578874
    32	    28	-1587.739563
    33	    29	-1588.057012
    34	    30	-1588.352549
    35	    31	-1588.504096
    36	    32	-1588.549975
    37	    33	-1588.632820
    38	    34	-1588.688015
    39	    35	-1588.755233
    40	    36	-1588.824680
    41	    37	-1588.949375
    42	    38	-1589.013945
    43	    39	-1589.158499
    44	    40	-1589.324072
    45	    41	-1589.361230
    46	    42	-1589.462223
    47	    43	-1589.688503
    48	    44	-1589.702264
    49	    45	-1589.818298
    50	    46	-1589.909827
    51	    47	-1589.972387
    52	    48	-1590.268615
    53	    49	-1590.377811
    55	    50	-1590.460967
    57	    51	-1590.622097
    58	    52	-1590.655401
    59	    53	-1590.805490
    60	    54	-1590.812413
    61	    55	-1590.953649
    62	    56	-1591.019754
    63	    57	-1591.025549
    64	    58	-1591.159729
    65	    59	-1591.249433
    66	    60	-1591.328586
    67	    61	-1591.384162
    68	    62	-1591.465582
    69	    63	-1591.570800
    70	    64	-1591.617229
    71	    65	-1591.666282
    72	    66	-1591.703793
    73	    67	-1591.744546
    74	    68	-1591.846860
    75	    69	-1591.950414
    76	    70	-1592.011112
    77	    71	-1592.112475
    78	    72	-1592.209047
    79	    73	-1592.258134
    80	    74	-1592.323977
    81	    75	-1592.328577
    82	    76	-1592.384511
    83	    77	-1592.412486
    84	    78	-1592.448190
    85	    79	-1592.522135
    86	    80	-1592.523923
    87	    81	-1592.546713
    88	    82	-1592.639725
    89	    83	-1592.651412
    90	    84	-1592.670642
    91	    85	-1592.716342
    92	    86	-1592.772493
    94	    87	-1592.817923
    95	    88	-1592.845642
    96	    89	-1592.859966
    97	    90	-1592.918260
    98	    91	-1592.936822
    99	    92	-1592.956524
   100	    93	-1592.969185
   101	    94	-1593.023511
   102	    95	-1593.039105
   103	    96	-1593.066830
   104	    97	-1593.115419
   106	    98	-1593.139447
   107	    99	-1593.142131
   108	   100	-1593.166573
   109	   101	-1593.199565
   110	   102	-1593.210739
   111	   103	-1593.220603
   112	   104	-1593.236644
   116	   105	-1593.264754
   117	   106	-1593.274992
   118	   107	-1593.291345
   119	   108	-1593.302971
   120	   109	-1593.308274
   122	   110	-1593.326526
   124	   111	-1593.340288
   125	   112	-1593.389729
   126	   113	-1593.391344
   127	   114	-1593.406069
   128	   115	-1593.407392
   130	   116	-1593.417477
   131	   117	-1593.435787
   134	   118	-1593.440804
   135	   119	-1593.464255
   136	   120	-1593.465808
   139	   121	-1593.491699
   140	   122	-1593.494796
   141	   123	-1593.497721
   142	   124	-1593.514969
   143	   125	-1593.527094
   144	   126	-1593.541555
   145	   127	-1593.549197
   146	   128	-1593.555974
   149	   129	-1593.566200
   150	   130	-1593.578816
   152	   131	-1593.586194
   153	   132	-1593.605349
   155	   133	-1593.607572
   160	   134	-1593.616221
   161	   135	-1593.618444
   168	   136	-1593.632597
   169	   137	-1593.636552
   172	   138	-1593.645558
   173	   139	-1593.647781
   180	   140	-1593.649713
   182	   141	-1593.652597
   191	   142	-1593.654814
   192	   143	-1593.665583
   197	   144	-1593.670226
   213	   145	-1593.671842
   216	   146	-1593.680910
   223	   147	-1593.685749
   236	   148	-1593.689836
   237	   149	-1593.695831
   238	   150	-1593.699957
   258	   151	-1593.702161
   267	   152	-1593.706916
   272	   153	-1593.708728
   288	   154	-1593.715252
   289	   155	-1593.716423
   291	   156	-1593.728105
   292	   157	-1593.729242
   298	   158	-1593.730957
   307	   159	-1593.737067
   310	   160	-1593.738816
   316	   161	-1593.741560
   336	   162	-1593.746215
   343	   163	-1593.747565
   393	   164	-1593.750088
   399	   165	-1593.756759
   429	   166	-1593.760574
   439	   167	-1593.765662
   443	   168	-1593.768825
   444	   169	-1593.772690
   459	   170	-1593.776124
   469	   171	-1593.777330
   473	   172	-1593.785176
   573	   172	-1593.785737
   629	   173	-1593.789382
   667	   174	-1593.794892
   767	   174	-1593.795350
   817	   175	-1593.799818
   835	   176	-1593.800904
   847	   177	-1593.802687
   947	   177	-1593.802687
  1047	   177	-1593.802687
  1053	   178	-1593.804084
  1153	   178	-1593.804629
  1180	   179	-1593.811410
  1235	   180	-1593.814428
  1236	   181	-1593.818586
  1237	   182	-1593.825736
  1238	   183	-1593.827911
  1248	   184	-1593.832294
  1348	   184	-1593.832294
