	443	0.5
     0	     0	-1582.987716
     1	     1	-1583.626777
     2	     2	-1583.708467
     3	     3	-1584.193870
     5	     4	-1584.253960
     6	     5	-1584.331725
     7	     6	-1584.463625
     9	     7	-1584.665274
    11	     8	-1584.902518
    12	     9	-1585.080793
    15	    10	-1585.088930
    16	    11	-1585.344653
    17	    12	-1585.350433
    19	    13	-1585.555308
    21	    14	-1585.696991
    22	    15	-1585.715495
    23	    16	-1585.772051
    25	    17	-1585.842562
    26	    18	-1585.937304
    28	    19	-1585.983129
    31	    20	-1586.046176
    32	    21	-1586.050647
    33	    22	-1586.097930
    34	    23	-1586.121169
    35	    24	-1586.125920
    36	    25	-1586.225817
    37	    26	-1586.269218
    38	    27	-1586.348446
    39	    28	-1586.405187
    41	    29	-1586.415882
    42	    30	-1586.440196
    43	    31	-1586.443077
    44	    32	-1586.481716
    46	    33	-1586.487452
    48	    34	-1586.489795
    49	    35	-1586.493539
    50	    36	-1586.500928
    52	    37	-1586.507084
   152	    37	-1586.507084
   252	    37	-1586.507084
   352	    37	-1586.507084
   452	    37	-1586.507084
   552	    37	-1586.507084
   652	    37	-1586.507084
   752	    37	-1586.507084
   852	    37	-1586.507084
   952	    37	-1586.507084
  1052	    37	-1586.507084
