	443	0.4
     0	     0	-1577.143126
     1	     1	-1577.898952
     2	     2	-1578.010375
     3	     3	-1578.109700
     4	     4	-1578.379913
     5	     5	-1578.706167
     6	     6	-1578.769902
     7	     7	-1579.013020
     9	     8	-1579.123580
    10	     9	-1579.222990
    11	    10	-1579.397520
    12	    11	-1579.546531
    13	    12	-1579.605358
    14	    13	-1579.883969
    15	    14	-1580.128513
    16	    15	-1580.159117
    17	    16	-1580.454450
    18	    17	-1580.456127
    19	    18	-1580.625707
    20	    19	-1580.735918
    21	    20	-1580.913938
    22	    21	-1581.146567
    24	    22	-1581.285944
    25	    23	-1581.313532
    26	    24	-1581.499419
    27	    25	-1581.595367
    28	    26	-1581.846378
    29	    27	-1581.985942
    30	    28	-1582.005333
    31	    29	-1582.093639
    32	    30	-1582.201518
    33	    31	-1582.361978
    34	    32	-1582.710398
    35	    33	-1582.753975
    36	    34	-1582.880748
    37	    35	-1583.005092
    38	    36	-1583.104735
    40	    37	-1583.194500
    41	    38	-1583.469464
    43	    39	-1583.498114
    44	    40	-1583.617345
    45	    41	-1583.770752
    46	    42	-1583.892143
    47	    43	-1584.000729
    48	    44	-1584.115815
    49	    45	-1584.171050
    50	    46	-1584.212302
    51	    47	-1584.272728
    52	    48	-1584.364085
    53	    49	-1584.469493
    54	    50	-1584.541787
    55	    51	-1584.737741
    56	    52	-1584.775746
    57	    53	-1584.806719
    58	    54	-1584.909384
    59	    55	-1585.048837
    60	    56	-1585.051490
    61	    57	-1585.074076
    62	    58	-1585.223777
    64	    59	-1585.293206
    65	    60	-1585.364023
    66	    61	-1585.457336
    68	    62	-1585.542860
    69	    63	-1585.715121
    70	    64	-1585.760199
    71	    65	-1585.780347
    72	    66	-1585.782287
    73	    67	-1585.825056
    74	    68	-1585.916618
    75	    69	-1586.046719
    76	    70	-1586.151810
    77	    71	-1586.170217
    78	    72	-1586.232604
    79	    73	-1586.269129
    80	    74	-1586.291897
    81	    75	-1586.344558
    82	    76	-1586.393591
    83	    77	-1586.433730
    85	    78	-1586.479276
    86	    79	-1586.500838
    87	    80	-1586.567902
    88	    81	-1586.580394
    89	    82	-1586.583205
    90	    83	-1586.631175
    91	    84	-1586.635656
    92	    85	-1586.671831
    93	    86	-1586.742966
    94	    87	-1586.778136
    95	    88	-1586.794889
    96	    89	-1586.821323
    97	    90	-1586.850178
    98	    91	-1586.870903
    99	    92	-1586.894894
   100	    93	-1586.924638
   101	    94	-1586.967288
   102	    95	-1586.974405
   103	    96	-1586.991876
   104	    97	-1587.009916
   105	    98	-1587.047493
   106	    99	-1587.063432
   107	   100	-1587.156861
   108	   101	-1587.161363
   110	   102	-1587.175249
   111	   103	-1587.203267
   112	   104	-1587.233375
   113	   105	-1587.270623
   114	   106	-1587.278936
   115	   107	-1587.284043
   116	   108	-1587.312492
   117	   109	-1587.335328
   118	   110	-1587.365367
   121	   111	-1587.366662
   122	   112	-1587.372047
   123	   113	-1587.403985
   124	   114	-1587.426893
   125	   115	-1587.454511
   126	   116	-1587.458327
   128	   117	-1587.465853
   129	   118	-1587.483118
   130	   119	-1587.489514
   131	   120	-1587.512441
   132	   121	-1587.521528
   133	   122	-1587.551817
   135	   123	-1587.571735
   136	   124	-1587.578520
   137	   125	-1587.580485
   138	   126	-1587.598627
   139	   127	-1587.607377
   140	   128	-1587.616866
   141	   129	-1587.646900
   144	   130	-1587.662821
   145	   131	-1587.673909
   146	   132	-1587.683527
   147	   133	-1587.689777
   148	   134	-1587.695399
   149	   135	-1587.716306
   151	   136	-1587.724124
   154	   137	-1587.749256
   155	   138	-1587.752089
   157	   139	-1587.753473
   158	   140	-1587.755020
   159	   141	-1587.762964
   162	   142	-1587.774988
   170	   143	-1587.779556
   173	   144	-1587.805678
   176	   145	-1587.809118
   179	   146	-1587.812854
   180	   147	-1587.815298
   181	   148	-1587.819866
   187	   149	-1587.843582
   189	   150	-1587.850186
   193	   151	-1587.852335
   194	   152	-1587.860649
   195	   153	-1587.867293
   211	   154	-1587.870886
   213	   155	-1587.873535
   227	   156	-1587.884443
   233	   157	-1587.888039
   235	   158	-1587.891535
   239	   159	-1587.896238
   240	   160	-1587.912396
   241	   161	-1587.915489
   253	   162	-1587.921407
   254	   163	-1587.924026
   258	   164	-1587.937370
   266	   165	-1587.939917
   274	   166	-1587.941173
   275	   167	-1587.945932
   276	   168	-1587.950266
   277	   169	-1587.955061
   281	   170	-1587.962250
   302	   171	-1587.965031
   303	   172	-1587.968550
   336	   173	-1587.970108
   384	   174	-1587.971360
   450	   175	-1587.974533
   487	   176	-1587.976323
   587	   176	-1587.976494
   673	   177	-1587.980470
   682	   178	-1587.984543
   723	   179	-1587.990030
   823	   179	-1587.990233
   897	   180	-1587.999712
   997	   180	-1587.999966
  1084	   181	-1588.003383
  1137	   182	-1588.005445
  1237	   182	-1588.005445
  1258	   183	-1588.008744
  1323	   184	-1588.011551
  1423	   184	-1588.011551
  1523	   184	-1588.011554
  1623	   184	-1588.011630
  1723	   184	-1588.011630
  1823	   184	-1588.011630
  1923	   184	-1588.011845
  2023	   184	-1588.011845
  2123	   184	-1588.011857
  2223	   184	-1588.011857
  2323	   184	-1588.011857
